
Epoch 0 --> 13/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085750, L_CE=0.164125, Now=20:04:08
Epoch 0 --> 13/100, i=1500/2500, -3.00dB/90Hz, Tr_BER=0.085783, L_CE=0.164168, Now=20:06:00
Epoch 0 --> 13/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.085774, L_CE=0.164117, Now=20:07:53
Epoch 0 --> 13/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.085775, L_CE=0.164101, Now=20:09:44
Epoch 0 --> 14/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085939, L_CE=0.164409, Now=20:11:53
Epoch 0 --> 14/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085561, L_CE=0.163693, Now=20:13:45
Epoch 0 --> 14/100, i=1500/2500, -3.00dB/90Hz, Tr_BER=0.085607, L_CE=0.163819, Now=20:15:38
Epoch 0 --> 14/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.085641, L_CE=0.163851, Now=20:17:30
Epoch 0 --> 14/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.085720, L_CE=0.164007, Now=20:19:22
Epoch 0 --> 15/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085114, L_CE=0.162930, Now=20:21:30
Epoch 0 --> 15/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085326, L_CE=0.163316, Now=20:23:22
Epoch 0 --> 15/100, i=1500/2500, -3.00dB/90Hz, Tr_BER=0.085414, L_CE=0.163459, Now=20:25:15
Epoch 0 --> 15/100, i=2000/2500, -3.00dB/90Hz, Tr_BER=0.085633, L_CE=0.163869, Now=20:27:08
Epoch 0 --> 15/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.085666, L_CE=0.163932, Now=20:28:59
Epoch 0 --> 16/100, i= 500/2500, -3.00dB/90Hz, Tr_BER=0.085787, L_CE=0.164070, Now=20:31:05
Epoch 0 --> 16/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085564, L_CE=0.163731, Now=20:32:58
Epoch 0 --> 16/100, i=1500/2500, -3.00dB/90Hz, Tr_BER=0.085589, L_CE=0.163741, Now=20:34:50
Epoch 0 --> 16/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.085672, L_CE=0.163914, Now=20:36:43
Epoch 0 --> 16/100, i=2500/2500, -3.00dB/90Hz, Tr_BER=0.085626, L_CE=0.163870, Now=20:38:35
Epoch 0 --> 17/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085371, L_CE=0.163518, Now=20:40:42
Epoch 0 --> 17/100, i=1000/2500, -3.00dB/90Hz, Tr_BER=0.085358, L_CE=0.163409, Now=20:42:34
Epoch 0 --> 17/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.085423, L_CE=0.163544, Now=20:44:27
Epoch 0 --> 17/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.085516, L_CE=0.163699, Now=20:46:20
