
Epoch 0 --> 15/200, i= 500/2500, -4.00dB/120Hz, Tr_BER=0.103993, L_CE=0.191855, Now=13:11:53
Epoch 0 --> 15/200, i=1000/2500, -4.00dB/120Hz, Tr_BER=0.103978, L_CE=0.191871, Now=13:13:28
Epoch 0 --> 15/200, i=1500/2500, -4.00dB/120Hz, Tr_BER=0.103957, L_CE=0.191809, Now=13:15:03
Epoch 0 --> 15/200, i=2000/2500, -4.00dB/120Hz, Tr_BER=0.103817, L_CE=0.191527, Now=13:16:37
Epoch 0 --> 15/200, i=2500/2500, -3.00dB/120Hz, Tr_BER=0.103788, L_CE=0.191488, Now=13:18:11
Epoch 0 --> 16/200, i= 500/2500, -4.00dB/120Hz, Tr_BER=0.103552, L_CE=0.191136, Now=13:19:59
Epoch 0 --> 16/200, i=1000/2500, -4.00dB/120Hz, Tr_BER=0.103470, L_CE=0.190960, Now=13:21:35
Epoch 0 --> 16/200, i=1500/2500, -4.00dB/120Hz, Tr_BER=0.103606, L_CE=0.191167, Now=13:23:10
Epoch 0 --> 16/200, i=2000/2500, -3.00dB/120Hz, Tr_BER=0.103674, L_CE=0.191300, Now=13:24:46
Epoch 0 --> 16/200, i=2500/2500, -5.00dB/120Hz, Tr_BER=0.103615, L_CE=0.191252, Now=13:26:21
Epoch 0 --> 17/200, i= 500/2500, -3.00dB/120Hz, Tr_BER=0.103634, L_CE=0.191245, Now=13:28:10
Epoch 0 --> 17/200, i=1000/2500, -4.00dB/120Hz, Tr_BER=0.103865, L_CE=0.191739, Now=13:29:46
Epoch 0 --> 17/200, i=1500/2500, -4.00dB/120Hz, Tr_BER=0.103762, L_CE=0.191569, Now=13:31:21
Epoch 0 --> 17/200, i=2000/2500, -4.00dB/120Hz, Tr_BER=0.103585, L_CE=0.191213, Now=13:32:58
Epoch 0 --> 17/200, i=2500/2500, -4.00dB/120Hz, Tr_BER=0.103512, L_CE=0.191086, Now=13:34:33
Epoch 0 --> 18/200, i= 500/2500, -4.00dB/120Hz, Tr_BER=0.103849, L_CE=0.191793, Now=13:36:21
Epoch 0 --> 18/200, i=1000/2500, -4.00dB/120Hz, Tr_BER=0.103570, L_CE=0.191244, Now=13:37:55
Epoch 0 --> 18/200, i=1500/2500, -4.00dB/120Hz, Tr_BER=0.103522, L_CE=0.191135, Now=13:39:28
Epoch 0 --> 18/200, i=2000/2500, -4.00dB/120Hz, Tr_BER=0.103446, L_CE=0.190998, Now=13:40:59
Epoch 0 --> 18/200, i=2500/2500, -4.00dB/120Hz, Tr_BER=0.103405, L_CE=0.190938, Now=13:42:33
Epoch 0 --> 19/200, i= 500/2500, -3.00dB/120Hz, Tr_BER=0.103305, L_CE=0.190712, Now=13:44:21
Epoch 0 --> 19/200, i=1000/2500, -3.00dB/120Hz, Tr_BER=0.104032, L_CE=0.192170, Now=13:45:56
Epoch 0 --> 19/200, i=1500/2500, -4.00dB/120Hz, Tr_BER=0.103929, L_CE=0.191923, Now=13:47:27
Epoch 0 --> 19/200, i=2000/2500, -4.00dB/120Hz, Tr_BER=0.103607, L_CE=0.191368, Now=13:48:56
